tmax,wspd,sol,presMax,dir,aptoplay
27.80,3.10,2.40,1010.70,25.00,1
27.50,3.10,10.30,1016.40,25.00,1
26.10,3.90,7.80,1014.50,25.00,1
25.30,3.30,8.30,1014.70,22.00,1
24.50,4.70,10.40,1015.90,26.00,-1
24.80,3.90,0.50,1016.10,24.00,-1
26.00,5.00,3.40,1015.90,22.00,1
25.00,5.60,9.60,1018.30,28.00,1
29.20,2.80,10.00,1017.60,10.00,1
30.80,4.70,10.40,1019.10,10.00,1
31.00,3.10,9.80,1017.20,11.00,1
27.90,2.80,8.00,1015.20,27.00,1
26.10,6.10,10.20,1013.70,26.00,1
25.80,5.60,8.60,1013.30,24.00,1
26.10,5.00,9.60,1015.00,26.00,1
26.50,4.20,9.30,1013.80,26.00,1
27.40,2.50,8.00,1012.00,28.00,1
25.00,4.40,2.70,1010.70,21.00,1
25.00,3.10,7.60,1015.00,21.00,1
23.10,7.50,0.60,1012.90,20.00,-1
23.20,2.50,6.40,1013.00,24.00,-1
24.00,4.40,2.30,1012.60,13.00,-1
22.40,7.50,0.20,1010.00,17.00,-1
26.00,3.30,6.60,1014.10,17.00,1
25.20,2.20,5.20,1013.00,1.00,1
21.90,7.80,0.00,1008.70,18.00,-1
23.30,5.00,3.80,1013.30,21.00,-1
22.00,5.30,9.00,1022.50,28.00,-1
22.00,2.50,5.30,1020.40,29.00,-1
24.20,3.60,7.00,1020.60,28.00,-1
27.30,3.30,8.90,1020.10,2.00,1
29.50,0.80,10.10,1019.40,24.00,1
28.20,3.90,9.30,1019.90,12.00,1
26.50,6.90,9.00,1019.90,11.00,1
27.10,6.10,8.00,1018.60,8.00,1
22.90,4.70,4.70,1017.80,32.00,-1
19.40,5.60,4.90,1019.10,24.00,-1
19.00,2.80,8.80,1014.50,4.00,-1
20.40,5.00,4.00,1013.20,3.00,-1
16.40,2.50,0.00,1008.50,10.00,-1
18.60,2.80,0.00,1011.60,35.00,-1
21.30,5.30,4.30,1015.40,15.00,-1
20.80,2.50,1.00,1016.10,13.00,-1
24.50,2.80,8.20,1014.90,11.00,-1
23.80,6.90,4.80,1014.10,8.00,-1
23.80,3.30,9.00,1018.40,12.00,-1
24.50,2.50,8.90,1019.60,33.00,-1
23.90,5.30,8.00,1019.00,11.00,-1
24.50,6.10,7.40,1017.00,13.00,-1
22.20,4.40,0.60,1021.20,11.00,-1
22.80,2.50,6.50,1022.60,32.00,-1
23.90,3.60,7.80,1022.50,1.00,-1
23.50,2.50,8.90,1019.80,4.00,-1
22.20,3.30,9.50,1018.20,2.00,-1
17.20,1.40,7.30,1009.70,1.00,-1
19.10,2.80,0.00,1012.80,13.00,-1
22.50,8.30,4.00,1012.40,13.00,-1
23.40,12.20,5.00,1014.70,11.00,-1
22.50,1.90,4.30,1017.40,12.00,-1
22.50,2.20,6.40,1020.40,22.00,-1
18.20,3.90,9.00,1022.60,34.00,-1
18.90,2.20,4.80,1022.00,29.00,-1
20.90,3.10,6.10,1019.60,26.00,-1
22.80,6.10,7.60,1018.80,11.00,-1
21.60,9.20,5.00,1016.00,13.00,-1
22.00,5.00,0.00,1019.90,15.00,-1
22.00,2.80,2.40,1023.40,1.00,-1
21.00,1.90,8.70,1021.20,36.00,-1
23.70,4.40,7.00,1022.00,11.00,-1
22.20,3.30,0.10,1024.10,15.00,-1
23.80,3.60,3.40,1024.60,2.00,-1
22.40,3.30,0.00,1022.00,8.00,-1
18.00,3.10,1.00,1021.80,6.00,-1
20.20,2.80,1.00,1023.00,29.00,-1
18.80,2.20,5.10,1026.90,31.00,-1
19.80,3.10,7.50,1028.00,2.00,-1
21.10,3.90,8.50,1027.80,12.00,-1
17.60,3.60,3.00,1025.20,3.00,-1
18.00,4.20,7.80,1023.80,2.00,-1
14.20,2.20,8.80,1020.10,2.00,-1
14.90,3.10,8.70,1018.00,6.00,-1
15.00,2.80,0.00,1014.40,20.00,-1
14.80,4.20,4.00,1014.90,13.00,-1
19.00,1.90,8.30,1024.30,36.00,-1
16.20,3.10,6.50,1027.90,18.00,-1
18.10,4.20,4.60,1030.80,3.00,-1
18.20,8.60,9.00,1030.10,11.00,-1
20.00,2.80,3.50,1030.10,15.00,-1
21.00,2.20,6.50,1030.00,18.00,-1
21.00,3.10,2.60,1028.00,26.00,-1
14.60,2.80,4.60,1027.10,36.00,-1
17.50,4.70,8.40,1027.10,4.00,-1
18.50,2.50,8.50,1028.00,2.00,-1
20.20,5.00,8.50,1024.20,5.00,-1
18.10,3.10,8.40,1023.70,4.00,-1
18.90,2.20,6.50,1023.50,2.00,-1
19.40,6.10,8.00,1024.20,11.00,-1
18.40,3.30,7.50,1025.10,11.00,-1
17.70,3.10,5.10,1025.70,2.00,-1
20.10,2.50,7.40,1026.70,4.00,-1
16.60,1.90,4.80,1026.50,5.00,-1
17.10,2.50,8.40,1026.30,7.00,-1
18.40,2.20,8.60,1027.00,4.00,-1
18.30,1.90,7.20,1026.00,4.00,-1
18.60,2.50,8.20,1024.50,4.00,-1
