tmax,wspd,sol,aptoplay
28.90,3.90,7.10,1
27.60,4.20,11.00,1
27.00,4.20,11.70,1
27.40,3.60,11.30,1
33.20,3.60,10.70,1
27.00,5.30,6.50,1
25.30,2.50,4.20,1
25.70,3.90,5.10,1
26.00,3.30,10.00,1
26.30,3.60,11.00,1
26.10,4.20,10.90,1
25.70,4.40,7.80,1
23.70,4.70,9.40,-1
29.70,1.90,11.00,1
31.10,4.40,11.10,1
29.90,2.80,11.20,1
29.90,3.30,10.80,1
32.00,2.50,11.10,1
33.00,3.10,10.90,1
34.50,3.90,10.90,1
32.10,7.80,11.00,1
33.80,3.90,10.90,1
32.90,2.50,10.60,1
33.50,2.50,10.30,1
32.00,5.00,10.40,1
32.00,3.30,9.00,1
33.20,5.30,9.70,1
33.00,5.30,7.70,1
32.50,5.60,10.00,1
31.00,4.40,10.20,1
30.30,2.80,10.40,1
30.70,2.80,9.40,1
30.00,2.20,9.90,1
26.50,4.40,8.70,1
26.30,3.60,9.20,1
25.80,3.30,4.00,1
26.50,2.80,5.30,1
27.00,6.40,5.30,1
25.40,6.10,3.90,1
23.60,10.30,0.20,-1
23.00,5.60,7.80,-1
23.50,1.70,9.00,-1
23.50,10.30,0.30,-1
21.40,3.60,4.20,-1
22.50,3.60,9.40,-1
24.50,5.30,3.80,-1
23.00,6.70,2.00,-1
23.00,3.10,7.20,-1
23.60,3.10,8.70,-1
23.00,4.70,5.20,-1
20.30,3.30,7.40,-1
17.40,2.80,0.00,-1
22.90,3.30,9.80,-1
24.00,9.70,4.00,-1
20.00,5.30,7.40,-1
23.40,6.90,4.90,-1
19.90,3.10,8.90,-1
19.00,3.30,9.50,-1
18.50,3.30,9.50,-1
20.10,3.10,6.20,-1
20.80,3.30,3.70,-1
20.40,2.50,6.40,-1
21.00,3.30,7.40,-1
22.60,3.10,8.70,-1
26.20,3.10,8.50,1
27.40,3.10,9.50,1
27.00,3.60,9.40,1
25.00,1.90,7.10,1
27.20,4.20,9.40,1
26.00,3.10,9.40,1
24.60,2.20,8.80,-1
22.20,2.20,9.10,-1
19.50,2.20,5.40,-1
19.40,5.80,9.30,-1
20.90,5.30,9.30,-1
19.50,3.10,9.40,-1
19.00,2.50,9.20,-1
20.50,1.90,7.20,-1
18.40,2.20,6.60,-1
20.00,0.80,4.40,-1
19.00,4.40,0.00,-1
20.30,5.30,2.30,-1
18.90,3.30,4.20,-1
16.50,2.20,8.60,-1
17.20,1.70,8.00,-1
17.80,3.30,0.00,-1
19.00,3.30,0.50,-1
16.70,2.20,0.00,-1
20.50,1.10,5.40,-1
18.50,3.30,6.90,-1
19.50,1.70,7.80,-1
20.50,3.60,9.50,-1
21.50,1.70,7.40,-1
21.70,1.40,5.90,-1
17.00,4.40,2.60,-1
15.50,5.00,8.30,-1
18.40,3.90,8.30,-1
19.40,3.60,8.80,-1
18.40,2.80,8.70,-1
17.20,2.50,8.70,-1
16.50,1.70,8.80,-1
13.90,1.90,3.00,-1
16.90,4.40,8.60,-1
18.20,3.90,8.70,-1
18.20,0.60,7.90,-1
18.00,1.40,3.60,-1
16.90,2.50,8.70,-1
14.80,2.50,8.70,-1
16.90,1.70,6.20,-1
17.00,3.10,4.60,-1
17.80,1.70,2.00,-1
19.80,1.70,7.20,-1
20.30,1.70,7.00,-1
18.00,1.40,7.30,-1
22.00,2.50,8.30,-1
20.50,1.40,7.90,-1
20.00,3.30,3.20,-1
14.70,6.70,8.10,-1
15.20,1.10,7.10,-1
15.50,2.50,8.30,-1
15.00,1.10,4.60,-1
14.20,3.30,0.00,-1
16.00,2.20,6.10,-1
15.40,1.90,5.40,-1
18.50,6.90,9.00,-1
20.00,5.00,0.50,-1
20.00,3.90,8.40,-1
19.50,2.20,1.60,-1
19.00,6.10,0.00,-1
20.50,12.80,6.20,-1
20.40,5.80,2.90,-1
18.20,9.20,1.60,-1
15.20,2.20,9.10,-1
17.60,3.10,9.00,-1
18.00,2.80,9.10,-1
21.40,2.80,9.10,-1
23.90,1.90,9.30,-1
23.50,2.80,8.80,-1
22.00,1.90,8.00,-1
21.80,1.70,9.00,-1
21.90,2.50,4.30,-1
20.60,4.40,6.50,-1
21.00,3.90,8.90,-1
20.90,3.30,8.80,-1
20.60,2.80,9.40,-1
20.70,2.50,9.30,-1
19.90,6.90,9.00,-1
20.60,3.10,8.80,-1
19.00,1.90,2.20,-1
20.50,2.80,8.10,-1
20.50,2.20,7.60,-1
17.40,6.40,0.00,-1
19.00,10.80,1.60,-1
19.50,7.20,8.50,-1
18.80,7.20,0.00,-1
19.50,5.60,0.70,-1
21.50,1.10,2.50,-1
24.00,5.60,7.00,-1
20.30,8.30,3.30,-1
18.30,3.60,6.30,-1
21.60,3.90,10.20,-1
21.40,1.70,10.00,-1
23.40,2.80,9.90,-1
22.90,1.90,9.80,-1
22.10,2.80,9.50,-1
19.70,4.40,6.20,-1
17.00,4.70,7.50,-1
17.50,6.40,9.70,-1
19.10,6.90,5.20,-1
17.00,6.90,8.30,-1
15.80,4.40,10.70,-1
16.20,2.50,10.50,-1
16.60,4.20,10.10,-1
15.10,3.60,10.10,-1
18.10,4.40,5.90,-1
16.40,5.30,9.60,-1
18.80,2.80,5.10,-1
18.60,3.60,10.10,-1
21.50,3.10,8.70,-1
17.20,6.90,2.70,-1
17.50,5.80,3.50,-1
15.60,7.80,0.70,-1
18.20,8.60,10.10,-1
18.00,2.50,10.40,-1
22.50,2.80,9.20,-1
21.80,5.80,6.00,-1
20.40,1.90,5.30,-1
20.10,1.90,7.20,-1
26.80,2.20,7.00,1
28.00,3.60,8.80,1
26.60,1.70,3.00,1
22.60,1.90,8.20,-1
20.30,3.90,7.90,-1
20.90,3.90,7.90,-1
29.90,3.30,0.00,1
25.00,1.10,0.00,1
25.00,4.70,0.00,1
17.30,5.60,0.00,-1
16.40,8.30,9.20,-1
19.30,10.30,5.40,-1
20.00,8.60,3.40,-1
17.40,5.60,3.80,-1
18.50,8.60,3.30,-1
16.60,6.10,1.50,-1
20.00,4.20,10.80,-1
22.00,2.80,10.30,-1
22.30,2.50,5.90,-1
26.60,3.10,10.80,1
28.40,6.40,10.70,1
25.80,3.90,0.40,1
22.50,4.40,9.30,-1
22.60,3.90,6.50,-1
23.60,4.40,11.50,-1
26.30,3.10,11.80,1
29.10,5.30,12.00,1
25.00,5.60,11.90,1
27.50,3.90,11.80,1
27.50,4.70,12.00,1
27.50,3.30,12.50,1
31.30,3.30,12.70,1
21.10,3.60,6.80,-1
22.40,3.60,8.50,-1
24.20,11.10,6.40,-1
22.00,5.80,3.50,-1
24.80,2.50,11.50,-1
22.60,3.30,12.50,-1
25.50,2.50,11.60,1
26.10,3.90,11.90,1
22.50,4.70,11.20,-1
21.50,4.70,9.00,-1
20.60,5.80,9.70,-1
20.50,5.60,12.90,-1
20.20,4.70,12.70,-1
20.60,5.80,8.90,-1
19.80,6.10,9.90,-1
19.00,5.00,12.00,-1
24.30,3.90,13.00,-1
23.30,3.30,13.00,-1
22.00,3.60,10.10,-1
22.90,5.00,9.90,-1
28.20,3.90,12.30,1
29.60,6.90,11.40,1
28.70,5.60,12.00,1
29.50,6.70,11.90,1
28.70,3.90,12.80,1
28.70,3.10,12.90,1
23.80,4.20,8.80,-1
22.00,8.30,12.20,-1
21.40,7.20,13.20,-1
21.60,3.60,13.00,-1
21.60,5.30,7.70,-1
23.20,5.00,13.20,-1
21.90,6.70,13.20,-1
21.80,6.90,13.10,-1
22.00,6.70,13.20,-1
24.80,5.30,12.60,-1
26.40,5.00,12.70,1
28.20,4.40,12.90,1
26.20,4.20,11.80,1
28.00,3.90,12.50,1
25.40,4.20,12.90,1
29.90,3.90,13.70,1
32.40,4.40,12.90,1
33.20,3.30,13.10,1
32.30,3.90,12.90,1
30.50,6.90,13.20,1
30.50,8.10,13.10,-1
30.60,5.60,12.80,1
25.10,4.40,12.90,1
26.90,2.50,11.90,1
27.20,3.90,7.70,1
23.50,5.30,0.00,-1
24.50,5.30,12.70,-1
24.00,5.00,4.90,-1
24.30,6.10,10.20,-1
24.20,5.30,8.10,-1
28.10,3.90,13.70,1
29.20,3.90,11.30,1
26.50,5.30,13.90,1
25.30,3.90,13.20,1
27.50,4.20,13.50,1
24.50,5.30,3.00,-1
24.00,6.40,9.70,-1
23.30,5.00,13.80,-1
